category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
605|23168,Scaffold|Scaffolding,BN-6,BN-6 6' narrow span horizontal-diagonal brace-scaffold,"The BN series aluminum narrow span horizontal-diagonal braces are available in 6', 8', and 10' lengths. Components are available separately for flexibility to convert to a different length or height scaffold tower.",/,Werner Co.,"The BN series aluminum narrow span horizontal-diagonal braces are available in 6', 8', and 10' lengths. Components are available separately for flexibility to convert to a different length or height scaffold tower.",Feature: Aluminum scaffold components provide the most flexibility during installation Enables end user to easily convert to different length or height scaffold towers All components available separately Ideal for rental yards and theatrical and entertainment applications,Specification: Feature:Size/Details Table Description:6' narrow span horizontal-diagonal brace Approx. Cu. Ft. Per Unit:0.3 Approx. Shipping Wt. Lbs.:4 Additional BN Series Models   Model No.Table DescriptionApprox.Cu.Ft.Per UnitApprox.Shipplng wt.Lbs BN-1010' narrow span horizontal-diagonal brace0.466.0 BN-66' narrow span horizontal-diagonal brace0.34.0 BN-88' narrow span horizontal-diagonal brace0.385.0,,BN-6 6' narrow span horizontal-diagonal brace-scaffold,BN-6 6' narrow span horizontal-diagonal brace-scaffold
604|23159,Ladder Accessories|Ladder Accessories,PK80-2,PK80-2 Level-Master Automatic Leveler,PK80-2 LEVEL-MASTER easily attaches to Werner fiberglass and aluminum extension ladders to level ladder on uneven surfaces.,E:\IMAGES\ITEMS\product\P\K\PK80-2-Level-Master-Automatic.jpg,Werner Co.,PK80-2 LEVEL-MASTER easily attaches to Werner fiberglass and aluminum extension ladders to level ladder on uneven surfaces.,"Features: Attaches to select Werner fiberglass and aluminum extension ladders to level ladder on uneven surfaces Automatically adjusts up to 8-1/2"" Easily levels and locks securely in place The width of the ladder is increased by approximately 3-3/4"" The ladder’s duty rating will remain the same after proper installation of leveler Includes 2 ladder levelers (one for each ladder rail), mounting hardware and instructions Available as a factory installed accessory. Contact your dealer for details",Specifications Approx. Cu. Ft. Per Unit: 0.21 Approx. Shipping Wt. Lbs.: 9.5,,PK80-2 Level-Master Automatic Leveler,PK80-2 Level-Master Automatic Leveler
604|23159,Ladder Accessories|Ladder Accessories,PK76-9,PK76-9 Universal Pail Shelf,"PK76-9 Universal Pail Shelf has a two-piece, SPILL-PROOF, rugged construction and fits on fiberglass stepladders and aluminum 400 series stepladders. Aluminum arms and built in rag rack. Comes with mounting hardware and instructions.",E:\IMAGES\ITEMS\product\P\K\PK76-9-Universal-Pail.jpg,Werner Co.,"PK76-9 Universal Pail Shelf has a two-piece, SPILL-PROOF, rugged construction and fits on fiberglass stepladders and aluminum 400 series stepladders. Aluminum arms and built in rag rack. Comes with mounting hardware and instructions.","Features: Two piece,SPILL-PROOF rugged construction, aluminum arms,built-in rag rack Pail shelf comes with mounting hardware and instructions",Specifications Approx. Cu. Ft. Per Unit: 0.17 Approx. Shipping Wt. Lbs.: 1.6,,PK76-9 Universal Pail Shelf,PK76-9 Universal Pail Shelf
603|23155,Fiberglass Extension Ladders|Extension Ladders,S7906-1,6' Type IAA Fiberglass Tapered Sectional (Base Section) Ladder,"The S7900 series is a Fiberglass Tappered Sectional Ladder with a base, middle and top section that can be combined to reach to reach 12', 16', or 20' lengths. Durable rail shields and shoe brackets protects the rail from damage. TRACTION-TRED round ru",E:\IMAGES\ITEMS\product\S\7\6-Type-IAA-Fiberglass-Tapered-Sectional-Base-Section.jpg,Werner Co.,"The S7900 series is a Fiberglass Tappered Sectional Ladder with a base, middle and top section that can be combined to reach to reach 12', 16', or 20' lengths. Durable rail shields and shoe brackets protects the rail from damage. TRACTION-TRED round rungs are slip resistant, and the exclusive ALFLO rung joint means TWIST-PROOF® performance every time. These ladders are made of non-conductive fiberglass rails and have a duty rating of 375 pounds","Features include: 6' Tapered sectional ladders can assembled with additional sections to reach 12', 16', or 20' lengths Base section of the system can be used alone or with model S7906-2 and/or model S7906-3 Durable rail shield and shoe bracket protects rail from damage Optional molded end caps (Model S7901) Exclusive ALFLO rung joint means TWIST-PROOF performance Hand operated taper-lock secures mating sections Slip-resistant TRACTION-TRED round rungs nest to top channel of sections when sections are joined Shoe with slip-resistant pad and spur plate","Dimensions  Rails Dimension: 3-5/16"" Flange Dimension: 1-3/16"" Rung Dimension: 1-1/4"" Base Width: 19-3/4"" outside shoes  Specifications  Load Capacity: 375 lbs. Type: Type IAA Duty Rating Performance Rating: 5 Star Material: Fiberglass Rung Type: Round Foot Material: Slip-resistant pad Certifications: ANSI A14.5 (2007); OSHA Approx. Cu. Ft. Per Unit: 2.3 Approx. Shipping Wt. Lbs.: 17   Additional S7900 Series Models: Model No.Approx. Cu. Ft. Per UnitApprox. Shipping Wt. Lbs. S7906-12.317 S7906-23.515.5 S7906-33.413",,6' Type IAA Fiberglass Tapered Sectional (Base Section) Ladder,6' Type IAA Fiberglass Tapered Sectional (Base Section) Ladder
605|23168,Scaffold|Scaffolding,BN-8,BN-8 8' narrow span horizontal-diagonal brace-scaffold,"The BN series aluminum narrow span horizontal-diagonal braces are available in 6', 8', and 10' lengths. Components are available separately for flexibility to convert to a different length or height scaffold tower.",/,Werner Co.,"The BN series aluminum narrow span horizontal-diagonal braces are available in 6', 8', and 10' lengths. Components are available separately for flexibility to convert to a different length or height scaffold tower.",Feature: Aluminum scaffold components provide the most flexibility during installation Enables end user to easily convert to different length or height scaffold towers All components available separately Ideal for rental yards and theatrical and entertainment applications,Specification: Feature:Size/Details Table Description:8' narrow span horizontal-diagonal brace Approx. Cu. Ft. Per Unit:0.38 Approx. Shipping Wt. Lbs.:5 Additional BN Series Models   Model No.Table DescriptionApprox.Cu.Ft.Per UnitApprox.Shipplng wt.Lbs BN-1010' narrow span horizontal-diagonal brace0.466.0 BN-66' narrow span horizontal-diagonal brace0.34.0 BN-88' narrow span horizontal-diagonal brace0.385.0,,BN-8 8' narrow span horizontal-diagonal brace-scaffold,BN-8 8' narrow span horizontal-diagonal brace-scaffold
604|23159,Ladder Accessories|Ladder Accessories,PK76-3,PK76-3 Auto-Closing Pail Shelf,PK76-3 Universal Auto-Closing Pail Shelf comes with mounting hardware and instructions. SPILL-PROOF rugged construction. Easy to keep clean and automatically closes with the stepladder. Built-in rag rack.,E:\IMAGES\ITEMS\product\P\K\PK76-3-Auto-Closing-Pail.jpg,Werner Co.,PK76-3 Universal Auto-Closing Pail Shelf comes with mounting hardware and instructions. SPILL-PROOF rugged construction. Easy to keep clean and automatically closes with the stepladder. Built-in rag rack.,"Features: SPILL-PROOF rugged construction,easy to keep clean, built-in rag rack Automatically closes with stepladder Pail shelf comes with mounting hardware and instructions",Specifications Approx. Cu. Ft. Per Unit: 0.38 Approx. Shipping Wt. Lbs.: 2.5,,PK76-3 Auto-Closing Pail Shelf,PK76-3 Auto-Closing Pail Shelf
604|23159,Ladder Accessories|Ladder Accessories,ERT-W,ERT-W End rail and end toe board assembly - wide,"Guard rail system gives versatility to design a 1, 2, or 3-sided guardrail system for Werner stages. Select from end rail/toe board assemblies, stanchion posts, square guar rails and toe boards in 9' and 13' foot cut lengths.",E:\IMAGES\ITEMS\product\E\R\ERT-W-End-rail-and-end-toe-board-assembly.jpg,Werner Co.,"Guard rail system gives versatility to design a 1, 2, or 3-sided guardrail system for Werner stages. Select from end rail/toe board assemblies, stanchion posts, square guar rails and toe boards in 9' and 13' foot cut lengths.","Features include: End rail and end toe board assembly for stages-wide width (20"" and wider) Use with guard rails, toe boards and stanchion posts to create 1, 2, 3, or 4 sided guard rail systems","Specifications  Table Description: End rail and end toe board assembly - wide Approx. Cu. Ft. Per Unit: 0.233 Approx. Shipping Wt. Lbs.: 7   Additional Guard Rail Series Models: Model No.Side Rail LengthApprox. Cu. Ft. Per UnitApprox. Shipping Wt. Lbs. ERT-NEnd rail and end toe board assembly - narrow0.1424.5 ERT-WEnd rail and end toe board assembly - wide0.2337 SGR-091-1/2"" square guard rail cut length - 108""0.1416 SGR-131-1/2"" square guard rail cut length - 156""0.2038.5 SSP-47Stanchion post assembly0.4235 STB-093-1/2"" toe board cut length - 108""0.1914.5 STB-133-1/2"" toe board cut length - 156""0.2766.5",,ERT-W End rail and end toe board assembly - wide,ERT-W End rail and end toe board assembly - wide
604|23159,Ladder Accessories|Ladder Accessories,SGR-09,"SGR-09 1-1/2"" square guard rail cut length - 108""","Guard rail system gives versatility to design a 1, 2, or 3-sided guardrail system for Werner stages. Select from end rail/toe board assemblies, stanchion posts, square guar rails and toe boards in 9' and 13' foot cut lengths.",E:\IMAGES\ITEMS\product\S\G\SGR-09-1-12-square-guard-rail-cut-length.jpg,Werner Co.,"Guard rail system gives versatility to design a 1, 2, or 3-sided guardrail system for Werner stages. Select from end rail/toe board assemblies, stanchion posts, square guar rails and toe boards in 9' and 13' foot cut lengths.","Features include: Modular guardrail system for use with stages-108"" Combine with end rails and toe boards for complete guardrail system","Specifications  Table Description: 1-1/2"" square guard rail cut length - 108"" Approx. Cu. Ft. Per Unit: 0.141 Approx. Shipping Wt. Lbs.: 6   Additional Guard Rail Series Models: Model No.Side Rail LengthApprox. Cu. Ft. Per UnitApprox. Shipping Wt. Lbs. ERT-NEnd rail and end toe board assembly - narrow0.1424.5 ERT-WEnd rail and end toe board assembly - wide0.2337 SGR-091-1/2"" square guard rail cut length - 108""0.1416 SGR-131-1/2"" square guard rail cut length - 156""0.2038.5 SSP-47Stanchion post assembly0.4235 STB-093-1/2"" toe board cut length - 108""0.1914.5 STB-133-1/2"" toe board cut length - 156""0.2766.5",,"SGR-09 1-1/2"" square guard rail cut length - 108""","SGR-09 1-1/2"" square guard rail cut length - 108"""
604|23159,Ladder Accessories|Ladder Accessories,SGR-13,"SGR-13 1-1/2"" square guard rail cut length - 156""","Guard rail system gives versatility to design a 1, 2, or 3-sided guardrail system for Werner stages. Select from end rail/toe board assemblies, stanchion posts, square guar rails and toe boards in 9' and 13' foot cut lengths.",E:\IMAGES\ITEMS\product\S\G\SGR-13-1-12-square-guard-rail-cut-length.jpg,Werner Co.,"Guard rail system gives versatility to design a 1, 2, or 3-sided guardrail system for Werner stages. Select from end rail/toe board assemblies, stanchion posts, square guar rails and toe boards in 9' and 13' foot cut lengths.","Features include: Modular guardrail system for use with stages-156"" Combine with end rails and toe boards for complete guardrail system","Specifications  Table Description: 1-1/2"" square guard rail cut length - 156"" Approx. Cu. Ft. Per Unit: 0.203 Approx. Shipping Wt. Lbs.: 8.5   Additional Guard Rail Series Models: Model No.Side Rail LengthApprox. Cu. Ft. Per UnitApprox. Shipping Wt. Lbs. ERT-NEnd rail and end toe board assembly - narrow0.1424.5 ERT-WEnd rail and end toe board assembly - wide0.2337 SGR-091-1/2"" square guard rail cut length - 108""0.1416 SGR-131-1/2"" square guard rail cut length - 156""0.2038.5 SSP-47Stanchion post assembly0.4235 STB-093-1/2"" toe board cut length - 108""0.1914.5 STB-133-1/2"" toe board cut length - 156""0.2766.5",,"SGR-13 1-1/2"" square guard rail cut length - 156""","SGR-13 1-1/2"" square guard rail cut length - 156"""
604|23159,Ladder Accessories|Ladder Accessories,PK70-2,PK70-2 LeveLok Base Units,PK70-2 LeveLok Ladder Leveler 2 base unit attachments stay attached to the ladder to be used with the LeveLok Leveler,E:\IMAGES\ITEMS\product\P\K\PK70-2-LeveLok-Base.jpg,Werner Co.,PK70-2 LeveLok Ladder Leveler 2 base unit attachments stay attached to the ladder to be used with the LeveLok Leveler,Features: LeveLok Ladder Leveler 2 base attachments Base units attach to the ladder to be used with LeveLok Leveler supplied with PK70-1 Does not include leveler mechanism. Leveler available individually model number PK70-3 LeveLok is a registered trademark of the LeveLok Corporation.,Specifications Approx. Cu. Ft. Per Unit: 0.41 Approx. Shipping Wt. Lbs.: 3.2,,PK70-2 LeveLok Base Units,PK70-2 LeveLok Base Units
