category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
237|25826,Leather Gloves|Leather Palm Gloves,2130G,"Pigskin Single Palm, Velcro Closure",,E:\IMAGES\ITEMS\product\2\1\Majestic-Pigskin-Single-Palm-Velcro.jpg,Majestic,"Majestic Pigskin Single Palm, Velcro Closure",Pigskin Palm Neoprene Knuckle Area Velcro Wrist Closure,,,Gold brushed pigskin palm with a stretch knit back and velcro wrist closure. Neoprene Knuckle Area,"Pigskin Single Palm, Velcro Closure"
237|25826,Leather Gloves|Leather Palm Gloves,2130R,"Pigskin Single Palm, Velcro Closure",,E:\IMAGES\ITEMS\product\2\1\Majestic-Pigskin-Single-Palm-Velcro.jpg,Majestic,"Majestic Pigskin Single Palm, Velcro Closure",Pigskin Palm Neoprene Knuckle Area Velcro Wrist Closure,,,Gold brushed pigskin palm with a stretch knit back and velcro wrist closure. Neoprene Knuckle Area,"Pigskin Single Palm, Velcro Closure"
237|25826,Leather Gloves|Leather Palm Gloves,2152HV,"Pigskin Single Palm, Velcro Closure",,E:\IMAGES\ITEMS\product\2\1\Majestic-Pigskin-Single-Palm-Velcro.jpg,Majestic,"Majestic Pigskin Single Palm, Velcro Closure",Pigskin Palm Neoprene Knuckle Area Velcro Wrist Closure,,,"A Grade Beige Pigskin Palm, Orange Stretch Back, Neoprene Knuckle, Velcro Closure, Mechanics Style","Pigskin Single Palm, Velcro Closure"
237|27826,Leather Gloves|Pigskin Gloves,2160,"Pigskin Double Palm, Velcro Closure Gloves","Grade Beige Pigskin Palm, Black Stretch Back, Neoprene Knuckle, Velcro Closure, Mechanics Style",E:\IMAGES\ITEMS\product\2\1\Majestic-2160-Pigskin-Double-Palm-Velcro-Closure.jpg,Majestic,"Grade Beige Pigskin Palm, Black Stretch Back, Neoprene Knuckle, Velcro Closure, Mechanics Style",Gold Pigskin Palm Stretch Knit Black Velcro Wrist Closure Wear/Grip Patches on the Palm and Fingertip Areas,,,"Majestic 2160 Pigskin Double Palm, Velcro Closure Gloves","Pigskin Double Palm, Velcro Closure Gloves"
237|27826,Leather Gloves|Pigskin Gloves,2152D,"Pigskin Single Palm, Slip On Gloves","A Grade Beige Pigskin Palm, Black Stretch Back, Neoprene Knuckle, Slip On, Mechanics Style",E:\IMAGES\ITEMS\product\2\1\Majestic-2152D-Pigskin-Single-Palm-Slip-On.jpg,Majestic,"A Grade Beige Pigskin Palm, Black Stretch Back, Neoprene Knuckle, Slip On, Mechanics Style",Slip-On Driver Style Beige Pigskin Palm Shirred Wrist Black Stretch Knit Back Neoprene Knuckle are,,,"Majestic 2152D Pigskin Single Palm, Slip On Gloves","Pigskin Single Palm, Slip On Gloves"
237|25826,Leather Gloves|Leather Palm Gloves,K5,"Grain Palm, Split Back Heavy Duty Leather Palm Gloves",,E:\IMAGES\ITEMS\product\K\5\Majestic-Grain-palm-Split-Back-Heavy-Duty-Leather-Palm.jpg,Majestic,,Cow Grain Palm Split Leather Back Safety Cuff or Gauntlet protection Welted Seams at stress points Double Sewn Index Finger,,,"Grain Cowhide Palm & Index Finger, Wing Thumb, Rubberized Safety Cuff","Grain Palm, Split Back Heavy Duty Leather Palm Gloves"
237|25826,Leather Gloves|Leather Palm Gloves,K5G,"Grain Palm, Split Back Heavy Duty Leather Palm Gloves",,E:\IMAGES\ITEMS\product\K\5\Majestic-Grain-palm-Split-Back-Heavy-Duty-Leather-Palm.jpg,Majestic,"Majestic Grain Palm, Split Back Heavy Duty Leather Palm Gloves",Cow Grain Palm Split Leather Back Safety Cuff or Gauntlet protection Welted Seams at stress points Double Sewn Index Finger,,,"Grain Cowhide Palm & Index Finger, Split Cowhide Back, Rubberized Gauntlet Cuff","Grain Palm, Split Back Heavy Duty Leather Palm Gloves"
237|25826,Leather Gloves|Leather Palm Gloves,K5GS,"Grain Palm, Split Back Heavy Duty Leather Palm Gloves",,E:\IMAGES\ITEMS\product\K\5\Majestic-Grain-palm-Split-Back-Heavy-Duty-Leather-Palm.jpg,Majestic,"Majestic Grain Palm, Split Back Heavy Duty Leather Palm Gloves",Cow Grain Palm Split Leather Back Safety Cuff or Gauntlet protection Welted Seams at stress points Double Sewn Index Finger,,,"Grain Cowhide Palm & Index Finger, Split Cowhide Back, Wing Thumb, Cowsplit Gauntlet Cuff","Grain Palm, Split Back Heavy Duty Leather Palm Gloves"
237|25826,Leather Gloves|Leather Palm Gloves,K5GSB,"Grain Palm, Split Back Heavy Duty Leather Palm Gloves",,E:\IMAGES\ITEMS\product\K\5\Majestic-Grain-palm-Split-Back-Heavy-Duty-Leather-Palm.jpg,Majestic,"Majestic Grain Palm, Split Back Heavy Duty Leather Palm Gloves",Cow Grain Palm Split Leather Back Safety Cuff or Gauntlet protection Welted Seams at stress points Double Sewn Index Finger,,,"Grain Palm, Split Back, Gauntlet","Grain Palm, Split Back Heavy Duty Leather Palm Gloves"
237|25826,Leather Gloves|Leather Palm Gloves,K5GSR,"Grain Palm, Split Back Heavy Duty Leather Palm Gloves",,E:\IMAGES\ITEMS\product\K\5\Majestic-Grain-palm-Split-Back-Heavy-Duty-Leather-Palm.jpg,Majestic,"Majestic Grain Palm, Split Back Heavy Duty Leather Palm Gloves",Cow Grain Palm Split Leather Back Safety Cuff or Gauntlet protection Welted Seams at stress points Double Sewn Index Finger,,,"Reversed Grain Cowhide Palm & Index Finger, Split Back, Wing Thumb, Cowsplit Gauntlet Cuff, Unl.","Grain Palm, Split Back Heavy Duty Leather Palm Gloves"
237|25826,Leather Gloves|Leather Palm Gloves,K5U,"Grain Palm, Split Back Heavy Duty Leather Palm Gloves",,E:\IMAGES\ITEMS\product\K\5\Majestic-Grain-palm-Split-Back-Heavy-Duty-Leather-Palm.jpg,Majestic,"Majestic Grain Palm, Split Back Heavy Duty Leather Palm Gloves",Cow Grain Palm Split Leather Back Safety Cuff or Gauntlet protection Welted Seams at stress points Double Sewn Index Finger,,,"Grain Cowhide Palm & Index Finger, Split Cowhide Back, Wing Thumb, Rubb Safety Cuff, Unlined","Grain Palm, Split Back Heavy Duty Leather Palm Gloves"
237|25826,Leather Gloves|Leather Palm Gloves,K4,Grain Palm and Back Heavy Duty Leather Gloves,,E:\IMAGES\ITEMS\product\K\4\Majestic-Grain-Palm-and-Back-Heavy-Duty-Leather.jpg,Majestic,,All Grain Leather Safety Cuff,,,"Grain Cowhide Palm & Back, Wing Thumb, Rubberized Safety Cuff",Grain Palm and Back Heavy Duty Leather Gloves
237|25826,Leather Gloves|Leather Palm Gloves,K4G,Grain Palm and Back Heavy Duty Leather Gloves,,E:\IMAGES\ITEMS\product\K\4\Majestic-Grain-Palm-and-Back-Heavy-Duty-Leather.jpg,Majestic,Majestic Grain Palm and Back Heavy Duty Leather Gloves,All Grain Leather Safety Cuff,,,Majestic Grain Palm and Back Heavy Duty Leather Gloves,Grain Palm and Back Heavy Duty Leather Gloves
237|25826,Leather Gloves|Leather Palm Gloves,K37,Grain Palm Canvas Black Cowhide Glove w/ Safety Cuff,,E:\IMAGES\ITEMS\product\K\3\Majestic-Grain-Palm-Canvas-Black-Cowhide-Glove-w-Safety.jpg,Majestic,,Grain Cowhide Palm Knuckle Strap Wing Thumb Rubberized Safety Cuff,,,Size 7,Grain Palm Canvas Black Cowhide Glove w/ Safety Cuff
237|25826,Leather Gloves|Leather Palm Gloves,K38,Grain Palm Canvas Black Cowhide Glove w/ Safety Cuff,,E:\IMAGES\ITEMS\product\K\3\Majestic-Grain-Palm-Canvas-Black-Cowhide-Glove-w-Safety.jpg,Majestic,Majestic Grain Palm Canvas Black Cowhide Glove w/ Safety Cuff,Grain Cowhide Palm Knuckle Strap Wing Thumb Rubberized Safety Cuff,,,Size 8,Grain Palm Canvas Black Cowhide Glove w/ Safety Cuff
237|25826,Leather Gloves|Leather Palm Gloves,K39,Grain Palm Canvas Black Cowhide Glove w/ Safety Cuff,,E:\IMAGES\ITEMS\product\K\3\Majestic-Grain-Palm-Canvas-Black-Cowhide-Glove-w-Safety.jpg,Majestic,Majestic Grain Palm Canvas Black Cowhide Glove w/ Safety Cuff,Grain Cowhide Palm Knuckle Strap Wing Thumb Rubberized Safety Cuff,,,Size 9,Grain Palm Canvas Black Cowhide Glove w/ Safety Cuff
237|25826,Leather Gloves|Leather Palm Gloves,K310,Grain Palm Canvas Black Cowhide Glove w/ Safety Cuff,,E:\IMAGES\ITEMS\product\K\3\Majestic-Grain-Palm-Canvas-Black-Cowhide-Glove-w-Safety.jpg,Majestic,Majestic Grain Palm Canvas Black Cowhide Glove w/ Safety Cuff,Grain Cowhide Palm Knuckle Strap Wing Thumb Rubberized Safety Cuff,,,Size 10,Grain Palm Canvas Black Cowhide Glove w/ Safety Cuff
237|25826,Leather Gloves|Leather Palm Gloves,K311,Grain Palm Canvas Black Cowhide Glove w/ Safety Cuff,,E:\IMAGES\ITEMS\product\K\3\Majestic-Grain-Palm-Canvas-Black-Cowhide-Glove-w-Safety.jpg,Majestic,Majestic Grain Palm Canvas Black Cowhide Glove w/ Safety Cuff,Grain Cowhide Palm Knuckle Strap Wing Thumb Rubberized Safety Cuff,,,Size 11,Grain Palm Canvas Black Cowhide Glove w/ Safety Cuff
237|25826,Leather Gloves|Leather Palm Gloves,K312,Grain Palm Canvas Black Cowhide Glove w/ Safety Cuff,,E:\IMAGES\ITEMS\product\K\3\Majestic-Grain-Palm-Canvas-Black-Cowhide-Glove-w-Safety.jpg,Majestic,Majestic Grain Palm Canvas Black Cowhide Glove w/ Safety Cuff,Grain Cowhide Palm Knuckle Strap Wing Thumb Rubberized Safety Cuff,,,Size 12,Grain Palm Canvas Black Cowhide Glove w/ Safety Cuff
237|25826,Leather Gloves|Leather Palm Gloves,K3GT,Grain Palm Canvas Black Heavy Duty Cowhide Glove w/ Gauntlet Cuff,,E:\IMAGES\ITEMS\product\K\3\Majestic-Grain-Palm-Canvas-Black-Heavy-Duty-Cowhide-Glove-w.jpg,Majestic,,Grain Cowhide Palm Knuckle Strap Wing Thumb Rubberized Gauntlet Cuff,,,Size 7,Grain Palm Canvas Black Heavy Duty Cowhide Glove w/ Gauntlet Cuff
237|25826,Leather Gloves|Leather Palm Gloves,K3GT-8,Grain Palm Canvas Black Heavy Duty Cowhide Glove w/ Gauntlet Cuff,,E:\IMAGES\ITEMS\product\K\3\Majestic-Grain-Palm-Canvas-Black-Heavy-Duty-Cowhide-Glove-w.jpg,Majestic,Majestic Grain Palm Canvas Black Heavy Duty Cowhide Glove w/ Gauntlet Cuff,Grain Cowhide Palm Knuckle Strap Wing Thumb Rubberized Gauntlet Cuff,,,Size 8,Grain Palm Canvas Black Heavy Duty Cowhide Glove w/ Gauntlet Cuff
237|25826,Leather Gloves|Leather Palm Gloves,K3GT-9,Grain Palm Canvas Black Heavy Duty Cowhide Glove w/ Gauntlet Cuff,,E:\IMAGES\ITEMS\product\K\3\Majestic-Grain-Palm-Canvas-Black-Heavy-Duty-Cowhide-Glove-w.jpg,Majestic,Majestic Grain Palm Canvas Black Heavy Duty Cowhide Glove w/ Gauntlet Cuff,Grain Cowhide Palm Knuckle Strap Wing Thumb Rubberized Gauntlet Cuff,,,Size 9,Grain Palm Canvas Black Heavy Duty Cowhide Glove w/ Gauntlet Cuff
237|25826,Leather Gloves|Leather Palm Gloves,K3GT-10,Grain Palm Canvas Black Heavy Duty Cowhide Glove w/ Gauntlet Cuff,,E:\IMAGES\ITEMS\product\K\3\Majestic-Grain-Palm-Canvas-Black-Heavy-Duty-Cowhide-Glove-w.jpg,Majestic,Majestic Grain Palm Canvas Black Heavy Duty Cowhide Glove w/ Gauntlet Cuff,Grain Cowhide Palm Knuckle Strap Wing Thumb Rubberized Gauntlet Cuff,,,Size 10,Grain Palm Canvas Black Heavy Duty Cowhide Glove w/ Gauntlet Cuff
