category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
1035|28225,Surveying Supplies (INACTIVE)|Surveying,0930001,Diagraph Black Marker,ChrisNik IDEAL Markers,E:\IMAGES\ITEMS\product\I\D\ChrisNik-IDEAL.jpg,Ideal,,Available in the following colors : Black Red,,,Diagraph Ideal Black Marker,Diagraph Black Marker
1035|28225,Surveying Supplies (INACTIVE)|Surveying,280930 006,Diagraph Red Marker,ChrisNik IDEAL Markers,E:\IMAGES\ITEMS\product\I\D\ChrisNik-IDEAL.jpg,Ideal,Diagraph Ideal Red Marker,Available in the following colors : Black Red,,,Diagraph Ideal Red Marker,Diagraph Red Marker
