category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
2484|23276,Rope|Ropes,TWPY120300,3 Strand Yellow Polypropylene Rope,,E:\IMAGES\ITEMS\product\T\W\erin-rope-twpy120300-3-strand-yellow-polypropylene-rope.jpg,Erin Rope,,"Premium grade U.V. stabilized polypropylene fiber: versatile, economical, lightweight, floats.",,,"Diameter: 0.375, Length in in.: 300, Minimum Break Strength in lbs.: 2440, Approximate Density lbs./100 ft.: 3",3 Strand Yellow Polypropylene Rope
2484|23276,Rope|Ropes,TWPY120600,3 Strand Yellow Polypropylene Rope,,E:\IMAGES\ITEMS\product\T\W\erin-rope-twpy120600-3-strand-yellow-polypropylene-rope.jpg,Erin Rope,,"Premium grade U.V. stabilized polypropylene fiber: versatile, economical, lightweight, floats.",,,"Diameter: 0.375, Length in in.: 600, Minimum Break Strength in lbs.: 2440, Approximate Density lbs./100 ft.: 3",3 Strand Yellow Polypropylene Rope
2484|23276,Rope|Ropes,TWPY121200,3 Strand Yellow Polypropylene Rope,,E:\IMAGES\ITEMS\product\T\W\erin-rope-twpy121200-3-strand-yellow-polypropylene-rope.jpg,Erin Rope,,"Premium grade U.V. stabilized polypropylene fiber: versatile, economical, lightweight, floats.",,,"Diameter: 0.375, Length in in.: 1200, Minimum Break Strength in lbs.: 2440, Approximate Density lbs./100 ft.: 3",3 Strand Yellow Polypropylene Rope
2484|23276,Rope|Ropes,TWPY122400,3 Strand Yellow Polypropylene Rope,,E:\IMAGES\ITEMS\product\T\W\erin-rope-twpy122400-3-strand-yellow-polypropylene-rope.jpg,Erin Rope,,"Premium grade U.V. stabilized polypropylene fiber: versatile, economical, lightweight, floats.",,,"Diameter: 0.375, Length in in.: 2400, Minimum Break Strength in lbs.: 2440, Approximate Density lbs./100 ft.: 3",3 Strand Yellow Polypropylene Rope
2484|23276,Rope|Ropes,TWPY123600,3 Strand Yellow Polypropylene Rope,,E:\IMAGES\ITEMS\product\T\W\erin-rope-twpy123600-3-strand-yellow-polypropylene-rope.jpg,Erin Rope,,"Premium grade U.V. stabilized polypropylene fiber: versatile, economical, lightweight, floats.",,,"Diameter: 0.375, Length in in.: 3600, Minimum Break Strength in lbs.: 2440, Approximate Density lbs./100 ft.: 3",3 Strand Yellow Polypropylene Rope
2484|23276,Rope|Ropes,TWPY160100,3 Strand Yellow Polypropylene Rope,,E:\IMAGES\ITEMS\product\T\W\erin-rope-twpy160100-3-strand-yellow-polypropylene-rope.jpg,Erin Rope,,"Premium grade U.V. stabilized polypropylene fiber: versatile, economical, lightweight, floats.",,,"Diameter: 0.5, Length in in.: 100, Minimum Break Strength in lbs.: 3780, Approximate Density lbs./100 ft.: 5",3 Strand Yellow Polypropylene Rope
2484|23276,Rope|Ropes,TWPY160300,3 Strand Yellow Polypropylene Rope,,E:\IMAGES\ITEMS\product\T\W\erin-rope-twpy160300-3-strand-yellow-polypropylene-rope.jpg,Erin Rope,,"Premium grade U.V. stabilized polypropylene fiber: versatile, economical, lightweight, floats.",,,"Diameter: 0.5, Length in in.: 300, Minimum Break Strength in lbs.: 3780, Approximate Density lbs./100 ft.: 5",3 Strand Yellow Polypropylene Rope
2484|23276,Rope|Ropes,TWPY160600,3 Strand Yellow Polypropylene Rope,,E:\IMAGES\ITEMS\product\T\W\erin-rope-twpy160600-3-strand-yellow-polypropylene-rope.jpg,Erin Rope,,"Premium grade U.V. stabilized polypropylene fiber: versatile, economical, lightweight, floats.",,,"Diameter: 0.5, Length in in.: 600, Minimum Break Strength in lbs.: 3780, Approximate Density lbs./100 ft.: 5",3 Strand Yellow Polypropylene Rope
2484|23276,Rope|Ropes,TWPY161200,3 Strand Yellow Polypropylene Rope,,E:\IMAGES\ITEMS\product\T\W\erin-rope-twpy161200-3-strand-yellow-polypropylene-rope.jpg,Erin Rope,,"Premium grade U.V. stabilized polypropylene fiber: versatile, economical, lightweight, floats.",,,"Diameter: 0.5, Length in in.: 1200, Minimum Break Strength in lbs.: 3780, Approximate Density lbs./100 ft.: 5",3 Strand Yellow Polypropylene Rope
2484|23276,Rope|Ropes,TWPY162400,3 Strand Yellow Polypropylene Rope,,E:\IMAGES\ITEMS\product\T\W\erin-rope-twpy162400-3-strand-yellow-polypropylene-rope.jpg,Erin Rope,,"Premium grade U.V. stabilized polypropylene fiber: versatile, economical, lightweight, floats.",,,"Diameter: 0.5, Length in in.: 2400, Minimum Break Strength in lbs.: 3780, Approximate Density lbs./100 ft.: 5",3 Strand Yellow Polypropylene Rope
