category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
287|21967,Truck Side Boxes|Truck Boxes,390-0-01,Model Aluminum Hi-Side Truck Box,Model 390-0-01 Aluminum Hi-Side Truck Box,E:\IMAGES\ITEMS\product\3\9\Weather-Guard-Model-390-0-01-Aluminum-Hi-Side-Truck.jpg,Weather Guard,Weather Guard Model 390-0-01 Aluminum Hi-Side Truck Box,"Door Opening: 12 ?"" H x 42?"" WAluminum Diamond Plate with Armor-TUF? Clear CoatStainless-Steel D-HandleAdjustable Leg MountingThree-Point Latching SystemPicture?Frame Body Design",Model 390-0-01 Aluminum Hi-Side Truck Box,,Weather Guard Model 390-0-01 Aluminum Hi-Side Truck Box,Model Aluminum Hi-Side Truck Box
287|21967,Truck Side Boxes|Truck Boxes,390-5-01,Model Aluminum Hi-Side Truck Box,Model 390-5-01 Aluminum Hi-Side Truck Box,E:\IMAGES\ITEMS\product\3\9\Weather-Guard-Model-390-5-01-Aluminum-Hi-Side-Truck.jpg,Weather Guard,Weather Guard Model 390-5-01 Aluminum Hi-Side Truck Box,"Door Opening: 12 ?"" H x 42?"" WAluminum Diamond Plate with Armor-TUF? Black CoatStainless-Steel D-HandleAdjustable Leg MountingThree-Point Latching SystemPicture?Frame Body Design",Model 390-5-01 Aluminum Hi-Side Truck Box,,Weather Guard Model 390-5-01 Aluminum Hi-Side Truck Box,Model Aluminum Hi-Side Truck Box
287|21967,Truck Side Boxes|Truck Boxes,396-0-01,Model Aluminum Hi-Side Truck Box,Model 396-0-01 Aluminum Hi-Side Truck Box,E:\IMAGES\ITEMS\product\3\9\Weather-Guard-Model-396-0-01-Aluminum-Hi-Side-Truck.jpg,Weather Guard,Weather Guard Model 396-0-01 Aluminum Hi-Side Truck Box,"Door Opening: 12 ?"" H x 42?"" WAluminum Diamond Plate with Armor-TUF? Clear CoatStainless-Steel D-HandleAdjustable Leg MountingThree-Point Latching SystemPicture?Frame Body Design",Model 396-0-01 Aluminum Hi-Side Truck Box,,Weather Guard Model 396-0-01 Aluminum Hi-Side Truck Box,Model Aluminum Hi-Side Truck Box
287|21967,Truck Side Boxes|Truck Boxes,396-5-01,Model Aluminum Hi-Side Truck Box,Model 396-5-01 Aluminum Hi-Side Truck Box,E:\IMAGES\ITEMS\product\3\9\Weather-Guard-Model-396-5-01-Aluminum-Hi-Side-Truck.jpg,Weather Guard,Weather Guard Model 396-5-01 Aluminum Hi-Side Truck Box,"Door Opening: 12 ?"" H x 42?"" WAluminum Diamond Plate with Armor-TUF? Black CoatStainless-Steel D-HandleAdjustable Leg MountingThree-Point Latching SystemPicture?Frame Body Design",Model 396-5-01 Aluminum Hi-Side Truck Box,,Weather Guard Model 396-5-01 Aluminum Hi-Side Truck Box,Model Aluminum Hi-Side Truck Box
287|21967,Truck Side Boxes|Truck Boxes,347-0-01,Model Aluminum Super-Side Truck Box,Model 347-0-01 Aluminum Super-Side Truck Box,E:\IMAGES\ITEMS\product\3\4\Weather-Guard-Model-347-0-01-Aluminum-Super-Side-Truck.jpg,Weather Guard,Weather Guard Model 347-0-01 Aluminum Super-Side Truck Box,"Door Opening: 14 ?"" H x 42?"" WAluminum Diamond Plate with Armor-TUF? Clear CoatStainless-Steel D-HandleAdjustable Leg MountingThree-Point Latching SystemPicture?Frame Body Design",Model 347-0-01 Aluminum Super-Side Truck Box,,Weather Guard Model 347-0-01 Aluminum Super-Side Truck Box,Model Aluminum Super-Side Truck Box
287|21967,Truck Side Boxes|Truck Boxes,347-5-01,Model Aluminum Super-Side Truck Box,Model 347-5-01 Aluminum Super-Side Truck Box,E:\IMAGES\ITEMS\product\3\4\Weather-Guard-Model-347-5-01-Aluminum-Super-Side-Truck.jpg,Weather Guard,Weather Guard Model 347-5-01 Aluminum Super-Side Truck Box,"Door Opening: 14 ?"" H x 42?"" WAluminum Diamond Plate with Armor-TUF? Black CoatStainless-Steel D-HandleAdjustable Leg MountingThree-Point Latching SystemPicture?Frame Body Design",Model 347-5-01 Aluminum Super-Side Truck Box,,Weather Guard Model 347-5-01 Aluminum Super-Side Truck Box,Model Aluminum Super-Side Truck Box
287|21967,Truck Side Boxes|Truck Boxes,365-0-01,Model Aluminum Super-Side Truck Box,Model 365-0-01 Aluminum Super-Side Truck Box,E:\IMAGES\ITEMS\product\3\6\Weather-Guard-Model-365-0-01-Aluminum-Super-Side-Truck.jpg,Weather Guard,Weather Guard Model 365-0-01 Aluminum Super-Side Truck Box,"Door Opening: 14 ?"" H x 29?"" WAluminum Diamond Plate with Armor-TUF? Clear CoatStainless-Steel D-HandleAdjustable Leg MountingThree-Point Latching SystemPicture?Frame Body Design",Model 365-0-01 Aluminum Super-Side Truck Box,,Weather Guard Model 365-0-01 Aluminum Super-Side Truck Box,Model Aluminum Super-Side Truck Box
287|21967,Truck Side Boxes|Truck Boxes,365-5-01,Model Aluminum Super-Side Truck Box,Model 365-5-01 Aluminum Super-Side Truck Box,E:\IMAGES\ITEMS\product\3\6\Weather-Guard-Model-365-5-01-Aluminum-Super-Side-Truck.jpg,Weather Guard,Weather Guard Model 365-5-01 Aluminum Super-Side Truck Box,"Door Opening: 14 ?"" H x 29?"" WAluminum Diamond Plate with Armor-TUF? Black CoatStainless-Steel D-HandleAdjustable Leg MountingThree-Point Latching SystemPicture?Frame Body Design",Model 365-5-01 Aluminum Super-Side Truck Box,,Weather Guard Model 365-5-01 Aluminum Super-Side Truck Box,Model Aluminum Super-Side Truck Box
287|21967,Truck Side Boxes|Truck Boxes,391-0-01,Model Aluminum Super-Side Truck Box,Model 391-0-01 Aluminum Super-Side Truck Box,E:\IMAGES\ITEMS\product\3\9\Weather-Guard-Model-391-0-01-Aluminum-Super-Side-Truck.jpg,Weather Guard,Weather Guard Model 391-0-01 Aluminum Super-Side Truck Box,"Door Opening: 14 ?"" H x 42?"" WAluminum Diamond Plate with Armor-TUF? Clear CoatStainless-Steel D-HandleAdjustable Leg MountingThree-Point Latching SystemPicture?Frame Body Design",Model 391-0-01 Aluminum Super-Side Truck Box,,Weather Guard Model 391-0-01 Aluminum Super-Side Truck Box,Model Aluminum Super-Side Truck Box
287|21967,Truck Side Boxes|Truck Boxes,391-5-01,Model Aluminum Super-Side Truck Box,Model 391-5-01 Aluminum Super-Side Truck Box,E:\IMAGES\ITEMS\product\3\9\Weather-Guard-Model-391-5-01-Aluminum-Super-Side-Truck.jpg,Weather Guard,Weather Guard Model 391-5-01 Aluminum Super-Side Truck Box,"Door Opening: 14 ?"" H x 42?"" WAluminum Diamond Plate with Armor-TUF? Black CoatStainless-Steel D-HandleAdjustable Leg MountingThree-Point Latching SystemPicture?Frame Body Design",Model 391-5-01 Aluminum Super-Side Truck Box,,Weather Guard Model 391-5-01 Aluminum Super-Side Truck Box,Model Aluminum Super-Side Truck Box
