category_ids,category_names,sku,meta_title,meta_description,Image,manufacturer,description,short_description,summary,upc,size_info,meta_keyword
1067|22518,Lighting|Hand Lamps with Cord Reel,07-00248,13 Watt Compact Fluorescent Tube Light with Retractable Reel,13 Watt Compact Fluorescent Tube Light with Retractable Reel,E:\IMAGES\ITEMS\product\0\7\13-Watt-Compact-Fluorescent-Tube-Light-with-Retractable.png,Voltec Industries,13 Watt Compact Fluorescent Tube Light with Retractable Reel,Mounting Hardware Included,Fluorescent Retractable Reels Voltec’s fluorescent retractable reels are constr ucted of tough ABS or heavy duty steel and mount easily for use in any work environment. Mounting hardware included. 13 Watt Compact Fluorescent Tube Light with Retractable Reel   ITEM PNREEL TYPECORD LENGTHWIRE GAUGEWIRE TYPEWIRE COLORBULB RATINGPLUG TYPE RECEPTACLE TYPEPOWER RATINGPACK QTY AMPSWATTS 07-00248250ft18/2SVTYellow13w5-15P5-15R1012504,,13 Watt Compact Fluorescent Tube Light with Retractable Reel,13 Watt Compact Fluorescent Tube Light with Retractable Reel
1067|22518,Lighting|Hand Lamps with Cord Reel,07-00249,13 Watt Fluorescent Angle Light with Retractable Reel and Outlet in Handle,13 Watt Fluorescent Angle Light with Retractable Reel and Outlet in Handle,E:\IMAGES\ITEMS\product\0\7\13-Watt-Fluorescent-Angle-Light-with-Retractable-Reel-and.png,Voltec Industries,13 Watt Fluorescent Angle Light with Retractable Reel and Outlet in Handle,Magnet Included E-ZEE Lamp Replacement Mounting Hardware Included,Fluorescent Retractable Reels Voltec’s fluorescent retractable reels are constr ucted of tough ABS or heavy duty steel and mount easily for use in any work environment. Mounting hardware included. 13 Watt Fluorescent Angle Light with Retractable Reel and Outlet in Handle   ITEM PNREEL TYPECORD LENGTHWIRE GAUGEWIRE TYPEWIRE COLOROUTLETSBULB RATINGPLUG TYPE RECEPTACLE TYPEPOWER RATINGPACK QTY AMPSWATTS 07-00249250ft16/3SJTWYellow113w5-15P5-15R1012502,,13 Watt Fluorescent Angle Light with Retractable Reel and Outlet in Handle,13 Watt Fluorescent Angle Light with Retractable Reel and Outlet in Handle
1067|22518,Lighting|Hand Lamps with Cord Reel,07-00250,13W Fluorescent Retractable Reel,13W Fluorescent Retractable Reel with Magnet and Outlet in Handle,E:\IMAGES\ITEMS\product\0\7\13W-Fluorescent-Retractable.png,Voltec Industries,13W Fluorescent Retractable Reel with Magnet and Outlet in Handle,5 Locking Positions 3-Way Wall/Ceiling/Bench Mount Mounting Hardware Included E-Zee Lamp Replacement Convenient Carry Handle Resettable Circuit Breaker,Fluorescent Retractable Reels Voltec’s fluorescent retractable reels are constr ucted of tough ABS or heavy duty steel and mount easily for use in any work environment. Mounting hardware included. 13W Fluorescent Retractable Reel with Magnet and Outlet in Handle   ITEM PNREEL TYPECORD LENGTHWIRE GAUGEWIRE TYPEWIRE COLOROUTLETSBULB RATINGPLUG TYPE RECEPTACLE TYPEPOWER RATINGPACK QTY AMPSWATTS 07-00250350ft16/3SJTWYellow113w5-15P5-15R1012502,,13W Fluorescent Retractable Reel,13W Fluorescent Retractable Reel
1067|22518,Lighting|Hand Lamps with Cord Reel,07-00251,26W Fluorescent Retractable Reel,26W Fluorescent Retractable Reel with Magnet and Outlet in Handle,E:\IMAGES\ITEMS\product\0\7\26W-Fluorescent-Retractable.png,Voltec Industries,26W Fluorescent Retractable Reel with Magnet and Outlet in Handle,5 Locking Positions 3-Way Wall/Ceiling/Bench Mount Mounting Hardware Included E-Zee Lamp Replacement Convenient Carry Handle Resettable Circuit Breaker,Fluorescent Retractable Reels Voltec’s fluorescent retractable reels are constr ucted of tough ABS or heavy duty steel and mount easily for use in any work environment. Mounting hardware included. 26w Fluorescent Retractable Reel with Magnet and Outlet in Handle   ITEM PNREEL TYPECORD LENGTHWIRE GAUGEWIRE TYPEWIRE COLOROUTLETSBULB RATINGPLUG TYPE RECEPTACLE TYPEPOWER RATINGPACK QTY AMPSWATTS 07-00251350ft16/3SJTWYellow126w5-15P5-15R1012502,,26W Fluorescent Retractable Reel,26W Fluorescent Retractable Reel
1067|22529,Lighting|Portable Work Light,08-00212,08-00212 Halogen Portable Work Lights,Halogen Work Lights,E:\IMAGES\ITEMS\product\0\8\08-00212-Halogen-Portable-Work.png,Voltec Industries,Halogen Work Lights,S-Style Base Insulated Foam Handles Bulb(S) Included,Halogen Portable Work Lights   ITEM PNMAX WATTAGECORD LENGTHWIRE GAUGEWIRE TYPEWIRE COLORPLUG TYPE SWITCHPACK QTY 08-002122501ft18/3SJTWBlack5-15PNo4,,08-00212 Halogen Portable Work Lights,08-00212 Halogen Portable Work Lights
1067|22529,Lighting|Portable Work Light,08-00209,08-00209 Halogen Portable Work Lights,Halogen Work Lights,E:\IMAGES\ITEMS\product\0\8\08-00209-Halogen-Portable-Work.png,Voltec Industries,Halogen Work Lights,S-Style Base Insulated Foam Handles Bulb(S) Included,Halogen Portable Work Lights   ITEM PNMAX WATTAGECORD LENGTHWIRE GAUGEWIRE TYPEWIRE COLORPLUG TYPE SWITCHPACK QTY 08-002095003ft18/3SJTWBlack5-15PNo6,,08-00209 Halogen Portable Work Lights,08-00209 Halogen Portable Work Lights
1067|22529,Lighting|Portable Work Light,08-00219,Halogen Portable Work Light with Locking Plug,Halogen Work Lights,E:\IMAGES\ITEMS\product\0\8\Halogen-Portable-Work-Light-with-Locking.png,Voltec Industries,Halogen Work Lights,S-Style Base Insulated Foam Handles Bulb(S) Included,Halogen Portable Work Light with Locking Plug   ITEM PNMAX WATTAGECORD LENGTHWIRE GAUGEWIRE TYPEWIRE COLORPLUG TYPE SWITCHPACK QTY 08-002195003ft16/3SJTWBlackL5-20PNo6,,Halogen Portable Work Light with Locking Plug,Halogen Portable Work Light with Locking Plug
1067|22529,Lighting|Portable Work Light,08-00610,4 in 1 Halogen Work Light,Halogen Work Lights,E:\IMAGES\ITEMS\product\0\8\4-in-1-Halogen-Work.png,Voltec Industries,Halogen Work Lights,"S-Style Base Hook, Clamp, And Stake Option Bulb(S) Included",4 in 1 Halogen Work Light   ITEM PNMAX WATTAGECORD LENGTHWIRE GAUGEWIRE TYPEWIRE COLORPLUG TYPE SWITCHPACK QTY 08-006102503ft18/3SJTWBlack5-15PYes6,,4 in 1 Halogen Work Light,4 in 1 Halogen Work Light
1067|22544,Lighting|Twin Light Tower,08-00211,Halogen Tripod Work Light,Halogen Work Lights,E:\IMAGES\ITEMS\product\0\8\Halogen-Tripod-Work.png,Voltec Industries,Halogen Work Lights,Tripod Extends To 6 Feet Bulb(S) Included,Halogen Tripod Work Light   ITEM PNMAX WATTAGECORD LENGTHWIRE GAUGEWIRE TYPEWIRE COLORPLUG TYPE SWITCHPACK QTY 08-0021110005ft18/3SJTWBlack5-15PYes2,,Halogen Tripod Work Light,Halogen Tripod Work Light
1067|22529,Lighting|Portable Work Light,08-00609,Heavy Duty Halogen Portable Work Light,Heavy Duty Halogen Work Lights,E:\IMAGES\ITEMS\product\0\8\Heavy-Duty-Halogen-Portable-Work.png,Voltec Industries,Heavy Duty Halogen Work Lights,H-Base Design Heavy Duty Face Frames Insulated Foam Handles Bulb(S) Included,Heavy Duty Halogen Portable Work Light   ITEM PNMAX WATTAGECORD LENGTHWIRE GAUGEWIRE TYPEWIRE COLORPLUG TYPE SWITCHPACK QTY 08-006095003ft18/3SJTWBlack5-15PYes6    Optional Base Magnet for Select Models 08-00314Single Halogen Base Magnet,,Heavy Duty Halogen Portable Work Light,Heavy Duty Halogen Portable Work Light
